Year,Distance,Engine_capacity(cm3),Price(euro),Style_ID,Transmission_ID,Fuel_type_ID
2003.0,190,1995.0,2000.0,1,1,3
2013.0,172000,1461.0,6299.0,1,2,2
2006.0,150,1600.0,1500.0,6,2,3
2008.0,19000,1746.0,7535.0,7,1,1
2008.0,155000,1746.0,7535.0,4,1,3
2016.0,64000,1798.0,16000.0,1,1,1
2011.0,174000,1461.0,4550.0,1,2,2
2010.0,187000,1400.0,6500.0,1,2,2
2007.0,235000,1500.0,5400.0,1,2,2
2012.0,1,1500.0,6200.0,2,2,2
2008.0,92000,1746.0,7535.0,5,1,2
2014.0,180000,1600.0,5800.0,8,2,2
2011.0,125000,1300.0,3750.0,1,2,2
2008.0,260,1746.0,7535.0,1,2,3
2013.0,192000,2200.0,17500.0,7,1,2
1995.0,300000,2000.0,2500.0,8,2,4
2007.0,240000,1400.0,3750.0,1,2,2
2008.0,0,1746.0,7535.0,5,1,3
2015.0,161000,2000.0,18000.0,7,1,2
2014.0,230000,2200.0,13000.0,5,1,2
2015.0,152000,1600.0,10300.0,3,2,2
2006.0,312000,2500.0,7800.0,5,1,3
2002.0,251000,2499.0,4650.0,5,2,2
2008.0,50000,1746.0,7535.0,5,1,2
2009.0,180000,1400.0,5300.0,2,2,3
2007.0,226000,1400.0,5500.0,2,2,2
2004.0,200000,1800.0,6500.0,11,1,3
2008.0,163500,1746.0,7535.0,8,2,2
2013.0,133000,1798.0,10000.0,1,1,1
2013.0,131000,1400.0,8500.0,5,1,1
2006.0,368000,1300.0,3650.0,2,2,2
2008.0,180000,1746.0,7535.0,5,1,3
2000.0,258,1700.0,2900.0,5,1,2
2011.0,160000,1200.0,4999.0,2,2,2
2010.0,1,1400.0,5350.0,2,2,3
2008.0,161024,1746.0,7535.0,5,1,2
2006.0,195000,1400.0,5400.0,1,2,3
2015.0,124000,2000.0,11499.0,5,1,6
2003.0,330000,1400.0,4100.0,1,1,2
2005.0,21548,1400.0,2200.0,5,2,4
2004.0,200000,1399.0,4200.0,1,2,3
2014.0,131000,2200.0,19900.0,7,1,2
2002.0,100,1600.0,1000.0,3,2,4
1998.0,268000,1800.0,2650.0,5,2,3
2014.0,128200,2200.0,17999.0,7,1,2
2008.0,162000,1746.0,7535.0,4,1,4
2008.0,211856,1746.0,7535.0,8,1,2
1998.0,98000,1000.0,900.0,1,2,3
2015.0,73179,2500.0,14000.0,5,1,3
2008.0,11111111,1746.0,7535.0,5,2,4
2008.0,88000,1746.0,7535.0,5,1,3
2014.0,150300,2000.0,13200.0,7,1,3
1996.0,460000,2200.0,1300.0,5,2,2
2015.0,139000,1461.0,12800.0,7,1,2
2006.0,360000,1300.0,2999.0,1,2,2
2008.0,171264,1746.0,7535.0,9,1,3
2010.0,203000,2000.0,8250.0,8,2,2
2008.0,270,2000.0,6700.0,8,2,2
1996.0,325000,1997.0,2200.0,5,2,3
2014.0,202300,1598.0,13199.0,5,1,2
2008.0,230000,1746.0,7535.0,5,1,3
2012.0,162200,1461.0,5899.0,2,2,2
2018.0,146600,1600.0,12700.0,2,1,2
2010.0,97000,1598.0,7700.0,1,1,3
2014.0,191000,1800.0,9700.0,2,1,4
2018.0,60000,2500.0,20000.0,5,1,4
2013.0,190000,1500.0,8500.0,2,2,2
2015.0,184000,1500.0,10999.0,4,1,2
2006.0,294000,2400.0,8500.0,4,1,2
2010.0,164000,1400.0,7650.0,1,1,3
2011.0,122841,1800.0,11600.0,1,1,1
2008.0,172000,1399.0,4999.0,1,2,2
2008.0,230000,1746.0,7535.0,5,1,3
2012.0,162200,1461.0,5899.0,2,2,2
2018.0,146600,1600.0,12700.0,2,1,2
2010.0,97000,1598.0,7700.0,1,1,3
2014.0,191000,1800.0,9700.0,2,1,4
2018.0,60000,2500.0,20000.0,5,1,4
2013.0,190000,1500.0,8500.0,2,2,2
2015.0,184000,1500.0,10999.0,4,1,2
2006.0,294000,2400.0,8500.0,4,1,2
2010.0,164000,1400.0,7650.0,1,1,3
2011.0,122841,1800.0,11600.0,1,1,1
2008.0,172000,1399.0,4999.0,1,2,2
2008.0,100000,1746.0,7535.0,7,1,1
2009.0,235000,1400.0,6200.0,2,1,3
2012.0,256000,1300.0,4490.0,10,2,2
2008.0,314000,1746.0,7535.0,5,1,2
2014.0,194000,1991.0,10000.0,3,1,4
2012.0,67000,1500.0,7200.0,7,2,2
2008.0,11111,1746.0,7535.0,5,1,2
2011.0,160,1600.0,5300.0,1,1,3
2016.0,180000,2000.0,17450.0,5,1,2
2017.0,135000,1462.0,15850.0,8,1,2
2015.0,84000,1600.0,10900.0,1,1,3
2002.0,280000,2000.0,3150.0,8,2,2
2001.0,230000,1900.0,3500.0,4,2,4
2011.0,200123,2000.0,8200.0,2,2,2
2000.0,264000,1400.0,2500.0,1,2,3
2008.0,101000,1746.0,7535.0,2,1,2
2008.0,92424,1600.0,3399.0,2,2,4
2008.0,230000,1746.0,7535.0,4,1,2
2013.0,122000,1385.0,4800.0,1,2,3
2007.0,335165,1986.0,6750.0,1,1,2
2017.0,175000,1462.0,16000.0,8,1,2
2010.0,220000,2200.0,7500.0,8,2,2
2008.0,148000,1746.0,7535.0,2,1,3
2011.0,230000,1200.0,2800.0,5,2,4
2011.0,192000,1400.0,6800.0,5,2,2
2008.0,257000,1746.0,7535.0,5,1,2
2007.0,72000,1000.0,4400.0,1,1,3
2012.0,240000,1500.0,6800.0,3,2,2
2006.0,205000,2700.0,14800.0,4,1,4
2017.0,176000,2000.0,19450.0,5,1,2
2006.0,164274,1300.0,2999.0,1,2,2
2008.0,179000,1400.0,7200.0,4,2,3
2021.0,0,1589.0,14500.0,7,1,3
2002.0,230000,1400.0,950.0,1,2,3
2008.0,125000,1746.0,7535.0,12,1,2
2001.0,278000,2000.0,2650.0,5,2,2
2004.0,200000,1600.0,3000.0,2,2,4
2011.0,202176,1500.0,6900.0,7,2,2
2009.0,265000,1800.0,5950.0,5,2,3
2011.0,244000,1600.0,9600.0,2,2,2
2016.0,188000,1422.0,7750.0,5,2,2
2011.0,207000,1500.0,7800.0,3,2,2
2018.0,33339,2000.0,20800.0,5,1,6
2008.0,180000,1746.0,7535.0,5,1,3
2017.0,160000,1500.0,7200.0,2,2,2
2008.0,230000,1800.0,7700.0,5,1,4
2008.0,1,1746.0,7535.0,2,2,3
2000.0,303000,2000.0,3800.0,5,1,4
2012.0,111896,1200.0,3499.0,1,2,3
2012.0,165000,1800.0,9200.0,2,1,1
2015.0,169265,1800.0,12650.0,2,1,1
2007.0,172316,1400.0,2800.0,1,2,3
2016.0,184500,1500.0,15499.0,1,3,3
2008.0,122000,1746.0,7535.0,7,1,2
2017.0,127000,2000.0,21990.0,5,1,3
2007.0,193000,1988.0,7600.0,5,1,3
1996.0,256000,1800.0,2300.0,5,2,3
2013.0,162000,2400.0,15000.0,2,1,6
2019.0,26000,1400.0,12990.0,1,3,3
2007.0,220000,1600.0,6500.0,10,2,3
2012.0,199000,2000.0,11800.0,4,2,2
2014.0,216000,1600.0,10700.0,5,1,2
